long,lat,group,order,region,subregion
-75.64188385009766,37.96418380737305,1,1,virginia,chesapeake
-75.61897277832031,37.99856185913086,1,2,virginia,chesapeake
-75.36113739013672,38.02720642089844,1,3,virginia,chesapeake
-75.39551544189453,37.99283218383789,1,4,virginia,chesapeake
-75.4184341430664,37.969913482666016,1,5,virginia,chesapeake
-75.42989349365234,37.94126510620117,1,6,virginia,chesapeake
-75.424163818359375,37.929805755615234,1,7,virginia,chesapeake
-75.43562316894531,37.90688705444336,1,8,virginia,chesapeake
-75.45281219482422,37.88969802856445,1,9,virginia,chesapeake
-75.44708251953125,37.87251281738281,1,10,virginia,chesapeake
-75.44708251953125,37.86104965209961,1,11,virginia,chesapeake
-75.48146057128906,37.82094192504883,1,12,virginia,chesapeake
-75.49864959716797,37.79229736328125,1,13,virginia,chesapeake
-75.52156829833984,37.763648986816406,1,14,virginia,chesapeake
-75.561676025390625,37.73500061035156,1,15,virginia,chesapeake
-75.57886505126953,37.70062255859375,1,16,virginia,chesapeake
-75.5845947265625,37.677703857421875,1,17,virginia,chesapeake
-75.5960464477539,37.64332580566406,1,18,virginia,chesapeake
-75.59032440185547,37.62040710449219,1,19,virginia,chesapeake
-75.607513427734375,37.591758728027344,1,20,virginia,chesapeake
-75.61324310302734,37.58603286743164,1,21,virginia,chesapeake
-75.63043212890625,37.591758728027344,1,22,virginia,chesapeake
-75.647613525390625,37.57456970214844,1,23,virginia,chesapeake
-75.67053985595703,37.55165100097656,1,24,virginia,chesapeake
-75.67626190185547,37.523006439208984,1,25,virginia,chesapeake
-75.693450927734375,37.517276763916016,1,26,virginia,chesapeake
-75.70491790771484,37.49435806274414,1,27,virginia,chesapeake
-75.71064758300781,37.4828987121582,1,28,virginia,chesapeake
-75.739288330078125,37.48862838745117,1,29,virginia,chesapeake
-75.76793670654297,37.477169036865234,1,30,virginia,chesapeake
-75.790863037109375,37.46571350097656,1,31,virginia,chesapeake
-75.80231475830078,37.44279479980469,1,32,virginia,chesapeake
